slice fieldpos lbda x y rmsx_um rmsy_um
8.000000 0.000000 0.350000 8.542427 19.033170 2.610422 1.345105
8.000000 0.000000 0.400000 8.488807 17.279061 1.694809 0.966382
8.000000 0.000000 0.500000 8.431456 15.312095 0.571382 0.892684
8.000000 0.000000 0.700000 8.383397 13.577905 0.882064 1.232018
8.000000 0.000000 1.000000 8.352064 12.397612 1.734795 1.568027
8.000000 0.000000 1.200000 8.337412 11.830514 2.174326 1.741648
8.000000 0.000000 1.400000 8.323697 11.290109 2.605614 1.910691
8.000000 0.000000 1.600000 8.309784 10.731955 3.062210 2.087190
8.000000 0.000000 1.700200 8.302584 10.438900 3.306109 2.180189
8.000000 0.500000 0.350000 8.271951 19.025581 2.803860 1.375517
8.000000 0.500000 0.400000 8.220056 17.271973 1.876187 0.885902
8.000000 0.500000 0.500000 8.164551 15.305552 0.683724 0.586168
8.000000 0.500000 0.700000 8.118040 13.571825 0.652949 0.866058
8.000000 0.500000 1.000000 8.087716 12.391838 1.516520 1.204027
8.000000 0.500000 1.200000 8.073537 11.824884 1.959540 1.378520
8.000000 0.500000 1.400000 8.060263 11.284614 2.393292 1.547454
8.000000 0.500000 1.600000 8.046800 10.726599 2.851823 1.722794
8.000000 0.500000 1.700200 8.039831 10.433615 3.096552 1.814773
8.000000 1.000000 0.350000 8.001427 19.018276 2.965392 1.502010
8.000000 1.000000 0.400000 7.951251 17.265151 2.030050 0.955037
8.000000 1.000000 0.500000 7.897586 15.299253 0.807923 0.405816
8.000000 1.000000 0.700000 7.852615 13.565973 0.457939 0.508962
8.000000 1.000000 1.000000 7.823297 12.386280 1.338655 0.849517
8.000000 1.000000 1.200000 7.809587 11.819465 1.785255 1.025257
8.000000 1.000000 1.400000 7.796753 11.279326 2.221319 1.193962
8.000000 1.000000 1.600000 7.783736 10.721444 2.681565 1.367683
8.000000 1.000000 1.700200 7.776998 10.428530 2.927004 1.458314
9.000000 -1.000000 0.350000 7.856251 19.013683 2.115869 1.584023
9.000000 -1.000000 0.400000 7.806960 17.260775 1.234242 1.425539
9.000000 -1.000000 0.500000 7.754236 15.295107 0.543272 1.513454
9.000000 -1.000000 0.700000 7.710050 13.562023 1.434547 1.819474
9.000000 -1.000000 1.000000 7.681240 12.382465 2.289999 2.103580
9.000000 -1.000000 1.200000 7.667768 11.815715 2.726746 2.252544
9.000000 -1.000000 1.400000 7.655156 11.275639 3.155047 2.399248
9.000000 -1.000000 1.600000 7.642363 10.717823 3.608466 2.554054
9.000000 -1.000000 1.700200 7.635742 10.424943 3.850682 2.636232
9.000000 -0.500000 0.350000 7.586557 19.006652 2.340259 1.411601
9.000000 -0.500000 0.400000 7.538987 17.254208 1.429323 1.152467
9.000000 -0.500000 0.500000 7.488105 15.289044 0.448036 1.153794
