wavelength,narrow,wide
14410,0.500376502,0.481223524
14420,0.497789889,0.478811491
14430,0.502459226,0.483291011
14440,0.501763351,0.482643492
14450,0.500531151,0.48125366
14460,0.504412305,0.485183889
14470,0.501567882,0.48228366
14480,0.502656585,0.483322638
14490,0.501981203,0.482693465
14500,0.50296523,0.483704649
14510,0.50043714,0.481242786
14520,0.500421718,0.48107281
14530,0.502513466,0.482949466
14540,0.49918975,0.479773257
14550,0.499300011,0.479789099
14560,0.498577415,0.479155091
14570,0.50208056,0.48269957
14580,0.499359983,0.480106152
14590,0.501631738,0.482167159
14600,0.500283407,0.48082267
14610,0.502685183,0.483249457
14620,0.50327627,0.483818362
14630,0.502770431,0.483346582
14640,0.501631652,0.48220715
14650,0.502311536,0.482931608
14660,0.50275649,0.483345158
14670,0.502672836,0.483079106
14680,0.502035525,0.482547117
14690,0.503222569,0.483843966
14700,0.504538487,0.484972388
14710,0.503567971,0.484089482
14720,0.503112934,0.483594058
14730,0.503487939,0.483782502
14740,0.505831146,0.486159702
14750,0.505497408,0.485753817
14760,0.505926856,0.486228032
14770,0.503839612,0.484269338
14780,0.502852768,0.483185479
14790,0.500803759,0.481185722
14800,0.504893771,0.485311538
14810,0.507402681,0.487730244
14820,0.504482866,0.484891334
14830,0.509152565,0.489421089
14840,0.508351541,0.488623855
14850,0.506082371,0.486493941
14860,0.505744389,0.486123006
14870,0.505092575,0.485492875
14880,0.502205668,0.482702621
14890,0.504715373,0.485013242
14900,0.506368649,0.486598108
14910,0.505217862,0.485613568
14920,0.50369957,0.48414631
14930,0.505375887,0.485807161
14940,0.503954358,0.484370555
14950,0.505302144,0.485754793
14960,0.505748137,0.486058096
14970,0.505997436,0.486420955
14980,0.503827597,0.484293324
14990,0.505212755,0.485590541
15000,0.505327685,0.485669033
15010,0.503026442,0.483476656
15020,0.507302414,0.487646049
15030,0.508847133,0.489179239
15040,0.507037911,0.48737371
15050,0.50640762,0.486565704
15060,0.503144467,0.483349852
15070,0.507343692,0.487550121
15080,0.508642118,0.488925766
15090,0.507095648,0.487369898
15100,0.509299381,0.489476702
15110,0.50546337,0.485784613
15120,0.507302276,0.48770064
15130,0.509466691,0.489652694
15140,0.507562061,0.487794572
15150,0.506537208,0.486701415
15160,0.505063468,0.485187684
15170,0.507738467,0.487842554
15180,0.505713268,0.485826078
15190,0.507540762,0.487812615
15200,0.508843713,0.489089294
15210,0.505735088,0.486079606
15220,0.50529329,0.485637096
15230,0.506841703,0.487022146
15240,0.505956122,0.486099669
15250,0.506902689,0.487058159
15260,0.506471771,0.486738254
15270,0.50626381,0.486617529
15280,0.506361817,0.486578915
15290,0.508327297,0.488566016
15300,0.506588699,0.486926116
15310,0.507192888,0.487267675
15320,0.506260764,0.486327273
15330,0.508362541,0.488559042
15340,0.508383394,0.488538915
15350,0.507146932,0.487419764
15360,0.509228709,0.48944867
15370,0.508985661,0.489116196
15380,0.506218213,0.48642539
15390,0.50659219,0.486929064
15400,0.510622049,0.490746309
15410,0.510001892,0.490127552
15420,0.507468977,0.487869518
15430,0.507587694,0.487831886
15440,0.511231337,0.491440914
15450,0.50835078,0.488568242
15460,0.510865097,0.490955556
15470,0.506981496,0.487126009
15480,0.511298855,0.491523714
15490,0.505929296,0.486122228
15500,0.510260623,0.490369558
15510,0.508744465,0.488954517
15520,0.51134266,0.491508652
15530,0.507785133,0.487971393
15540,0.50640452,0.486520245
15550,0.508838234,0.489014468
15560,0.507774544,0.487848579
15570,0.50838307,0.48848823
15580,0.508844932,0.488930591
15590,0.510639656,0.490602841
15600,0.507949965,0.488178583
15610,0.508110177,0.488371882
15620,0.51036582,0.490435862
15630,0.510479514,0.490577204
15640,0.511372839,0.491362543
15650,0.510293383,0.490461703
15660,0.515092678,0.495092257
15670,0.510930633,0.491116304
15680,0.511886861,0.491874033
15690,0.509989989,0.489998781
15700,0.512163396,0.492075124
15710,0.512878648,0.492988985
15720,0.514344111,0.494302919
15730,0.51405086,0.49404489
15740,0.513231888,0.493049329
15750,0.512473657,0.492586305
15760,0.511359056,0.491585889
15770,0.514437337,0.494450449
15780,0.513779606,0.493942131
15790,0.5143866,0.494349521
15800,0.513769019,0.493862759
15810,0.514319492,0.494353127
15820,0.512582336,0.492839097
15830,0.513026317,0.493128412
15840,0.51161573,0.4916684
15850,0.513380306,0.493496576
15860,0.513105832,0.493239675
15870,0.512130809,0.492311772
15880,0.51129973,0.491574238
15890,0.51430863,0.494205789
15900,0.512847382,0.492907334
15910,0.511462485,0.491796182
15920,0.516013505,0.496155148
15930,0.515859258,0.495884958
15940,0.51399391,0.494276672
15950,0.51489501,0.494924052
15960,0.515255241,0.495375269
15970,0.514498152,0.494621279
15980,0.51469756,0.494963322
15990,0.51604028,0.496376182
16000,0.514125411,0.494478009
16010,0.514928328,0.49493128
16020,0.514830968,0.495058911
16030,0.515990355,0.496033805
16040,0.51637022,0.496709978
16050,0.514083316,0.494149929
16060,0.514278525,0.494594719
16070,0.515208507,0.495363124
16080,0.512073241,0.492262045
16090,0.510617683,0.490809313
16100,0.512858562,0.493051419
16110,0.514248549,0.494610089
16120,0.515356356,0.495627718
16130,0.514943148,0.495011196
